,date,open,high,low,close,volume,y2_hat
219,2017-08-08 12:00 AM,3387.54,3490.0,3300.0,3412.41,15835.370207810149,3414.7887126563737
220,2017-08-09 12:00 AM,3408.46,3423.1,3178.72,3342.99,14286.84413824044,3343.783930125623
221,2017-08-10 12:00 AM,3342.99,3448.0,3311.17,3413.03,9031.121280210147,3413.7329145427784
222,2017-08-11 12:00 AM,3410.0,3705.0,3390.67,3645.06,11927.373334240088,3648.822066664079
223,2017-08-12 12:00 AM,3651.74,3934.0,3586.95,3855.1,12351.07466142996,3861.5513084850445
224,2017-08-13 12:00 AM,3855.04,4190.0,3841.71,4053.87,15889.829788539808,4070.064869737601
225,2017-08-14 12:00 AM,4053.87,4329.43,3964.96,4306.23,14212.304207240275,4327.142796606563
226,2017-08-15 12:00 AM,4320.95,4400.0,3800.0,4155.67,25515.718014369413,4175.191054417932
227,2017-08-16 12:00 AM,4154.99,4379.78,3926.06,4378.84,12923.63728054015,4395.311245908047
228,2017-08-17 12:00 AM,4361.99,4480.0,4167.21,4276.5,14573.185929090392,4291.89880898688
229,2017-08-18 12:00 AM,4260.47,4368.0,3964.96,4100.0,17516.99336076034,4114.275564732504
230,2017-08-19 12:00 AM,4100.0,4188.0,3900.0,4099.55,15036.184051130349,4111.82262597665
231,2017-08-20 12:00 AM,4091.99,4125.95,4000.0,4058.68,6237.972896320015,4066.1335136597863
232,2017-08-21 12:00 AM,4058.64,4080.0,3949.78,3987.52,9782.05659401016,3993.671212485332
233,2017-08-22 12:00 AM,3987.51,4139.31,3600.0,4085.0,23522.758166360483,4093.95904996619
234,2017-08-23 12:00 AM,4078.0,4248.97,4051.94,4108.12,14979.403481470037,4116.2288128181735
235,2017-08-24 12:00 AM,4121.78,4350.0,4082.57,4300.34,10782.694367380192,4308.9994628903605
236,2017-08-25 12:00 AM,4308.8,4449.98,4270.0,4355.98,9699.610033739971,4365.148645337049
237,2017-08-26 12:00 AM,4348.17,4369.78,4232.43,4333.38,6559.6686037500285,4341.07688398773
238,2017-08-27 12:00 AM,4333.38,4393.3,4290.32,4337.68,3979.124452829982,4344.238242908329
239,2017-08-28 12:00 AM,4329.91,4399.72,4169.01,4379.99,8641.002445900043,4387.471935393871
240,2017-08-29 12:00 AM,4385.0,4649.78,4336.26,4578.82,11879.642830690284,4589.806906035011
241,2017-08-30 12:00 AM,4578.82,4642.22,4479.0,4573.2,8720.035039950135,4584.155761327351
242,2017-08-31 12:00 AM,4573.15,4765.21,4566.66,4734.26,8911.412459390018,4746.782702513284
243,2017-09-01 12:00 AM,4734.26,4935.0,4671.09,4921.7,15367.529697360249,4935.548870453246
244,2017-09-02 12:00 AM,4921.71,4979.9,4488.5,4599.9,16977.79362226009,4611.507682292506
245,2017-09-03 12:00 AM,4599.9,4700.0,4385.0,4606.26,11224.914556300237,4616.737382743401
246,2017-09-04 12:00 AM,4603.68,4613.97,4058.5,4277.0,25069.12523005049,4287.014605133139
247,2017-09-05 12:00 AM,4282.53,4474.88,4001.93,4396.52,20884.219693530402,4407.26688277555
248,2017-09-06 12:00 AM,4397.38,4649.23,4356.42,4605.8,16634.104205340496,4615.774968243198
249,2017-09-07 12:00 AM,4605.81,4674.34,4475.0,4615.0,9254.851426920168,4623.693817545596
250,2017-09-08 12:00 AM,4615.0,4679.97,4125.99,4312.0,23693.30162259021,4320.5649170804945
251,2017-09-09 12:00 AM,4327.41,4379.78,4164.0,4308.72,9974.388234530596,4314.76626136851
252,2017-09-10 12:00 AM,4322.44,4322.44,4010.0,4226.22,14724.204143870835,4233.167547610961
253,2017-09-11 12:00 AM,4226.21,4353.49,4092.4,4207.31,11191.59504385025,4216.01260672731
254,2017-09-12 12:00 AM,4198.89,4377.65,4080.0,4172.56,13294.43769742036,4181.874125893326
255,2017-09-13 12:00 AM,4170.6,4179.14,3720.01,3865.34,29636.38096310942,3878.6625299613665
256,2017-09-14 12:00 AM,3861.89,3921.74,3210.0,3227.79,41319.39712569992,3239.8344823457533
257,2017-09-15 12:00 AM,3227.79,3820.0,2972.01,3700.01,60278.946541769,3715.5174662968748
258,2017-09-16 12:00 AM,3699.89,3872.9,3500.0,3678.93,23158.228910709986,3686.167005295189
259,2017-09-17 12:00 AM,3669.07,3772.52,3463.0,3662.99,11770.217650490169,3665.0467908852443
260,2017-09-18 12:00 AM,3662.95,4122.7,3659.42,4101.6,17207.598924390393,4108.320974601903
261,2017-09-19 12:00 AM,4102.0,4119.7,3848.35,3888.8,15278.930440400083,3893.8001752899827
262,2017-09-20 12:00 AM,3888.8,4050.0,3820.56,3874.46,11660.271813310195,3878.141543100946
263,2017-09-21 12:00 AM,3864.0,3914.0,3573.0,3617.05,17904.29717206008,3619.3905169889003
264,2017-09-22 12:00 AM,3607.83,3761.84,3514.0,3612.18,15007.738449490033,3613.5695375904747
265,2017-09-23 12:00 AM,3611.91,3810.25,3552.0,3779.17,10123.232135520157,3780.362431781369
